"BUSLINE_ID","BUSLINE_NO","BUSLINE_NAME","BUSLINE_MEMO","LINE_COURSE","DOWNLINE_COURSE","SPEEDLIMIT","FOTIME","EOTIME","FDTIME","EDTIME","NARROWRUN","USUALLYRUN","DAYPLANTIMES","BASEPRICE","ALLPRICE","MORNING_PEAK_STA","MORNING_PEAK_END","EVENING_PEAK_STA","EVENING_PEAK_END","INTERVAL_NOR","LINE_TYPE","TOTAL_VEHICLE_NUM","LINE_CODE","STATUS","COMPANY_ID","IS_DRINKCHECK","ISBRT","ISTROLLEYBUS","ISNEWENERGY","LINE_TYPE2"
699,"699",厦门北站-新店,,,,,"06:00","12:00","06:00","12:00",,,,"30","30",,,,,,,,,"1",,,,,,
765,"765",厦门北站-轮渡,,,,,"06:00","12:00","06:00","12:00",,,,"30","30",,,,,,,,,"1",,,,,,
831,"831",厦门北站-马巷,,,,,"06:00","12:00","06:00","12:00",,,,"30","30",,,,,,,,,"1",,,,,,
863,"863",厦门北站-会展中心公交站,,,,,"06:00","12:00","06:00","12:00",,,,"30","30",,,,,,,,,"1",,,,,,
904,"904",厦门北站-海沧区政府,,,,,"06:00","12:00","06:00","12:00",,,,"30","30",,,,,,,,,"1",,,,,,
1952,"1952",厦门北站-东孚工业区,,,,,"06:00","12:00","06:00","12:00",,,,"30","30",,,,,,,,,"1",,,,,,
2013,"2013",厦门北站-集美大学湾,,,,,"06:00","12:00","06:00","12:00",,,,"30","30",,,,,,,,,"1",,,,,,
2014,"2014",厦门北站-杏南公交站,,,,,"06:00","12:00","06:00","12:00",,,,"30","30",,,,,,,,,"1",,,,,,
2017,"2017",厦门北站-同安工业区,,,,,"06:00","12:00","06:00","12:00",,,,"30","30",,,,,,,,,"1",,,,,,
2082,"2082",厦门北站-同安汽车站,,,,,"06:00","12:00","06:00","12:00",,,,"30","30",,,,,,,,,"1",,,,,,
