"STATION_ID","STATION_NO","STATION_NAME","ONORDOWN","STATION_ALIAS","STATIONTYPE_ID","IN_DIS","OUT_DIS","LATITUDE","LONGITUDE","SIMNO","MEMO","STATION_TYPE","STATION_CODE","LNG","LAT","AREA_NO","UNILATERAL_STATITION","STATION_STATUS"
100,"100",厦门站,,,,,,24.642666,118.080553,,,,,,,,,0
101,"101",厦门北站,,,,,,24.642666,118.080553,,,,,,,,,1
699,"699",新店,,,,,,24.630974,118.25487,,,,,,,,,1
765,"765",轮渡,,,,,,24.460945,118.079552,,,,,,,,,1
831,"831",马巷,,,,,,24.662904,118.257628,,,,,,,,,1
863,"863",会展中心公交站,,,,,,24.473102,118.188031,,,,,,,,,1
904,"904",海沧区政府,,,,,,24.490531,118.039372,,,,,,,,,1
1952,"1952",东孚工业区,,,,,,24.562066,117.93839,,,,,,,,,1
2013,"2013",集美大学湾,,,,,,24.591736,118.113431,,,,,,,,,1
2014,"2014",杏南公交站,,,,,,24.56278,118.048459,,,,,,,,,1
2017,"2017",同安工业区,,,,,,24.694412,118.147524,,,,,,,,,1
2082,"2082",同安汽车站,,,,,,24.728349,118.154417,,,,,,,,,1
